entity_id,risk_score,risk_level,anomaly_score,flags,explanation
97248d4f-b62a-4315-9915-18dee0224ade,40.1,Medium,0.73,,
690f675a-c094-4d91-98ac-96d339f5ef64,39.6,Medium,0.719,,
471a77c8-6159-471b-a7b3-910527eb1e9c,39.6,Medium,0.719,,
7a8faef7-aab4-43c5-bf03-b4a1561577db,39.6,Medium,0.719,,
b40ecc8b-216d-40e6-93a8-ca852ecd0b88,39.6,Medium,0.719,,
16a9c5c4-e252-4489-9365-7260adc68a58,39.0,Medium,0.709,,
d3259d57-da07-4fdb-b45f-18a033ec34ca,38.8,Medium,0.705,,
7c736843-8e67-42a0-ad37-46f0794f96a2,38.5,Medium,0.701,,
bb16fb18-3977-45db-9072-c93a4fbb46c5,38.3,Medium,0.697,,
1d636b41-0f27-48db-b70c-63414832c405,38.1,Medium,0.693,,
cf86ad66-889c-4dd5-af13-8a73a2485327,37.9,Medium,0.689,,
acad55b2-f580-47ec-9ef1-5693687695ce,37.6,Medium,0.684,,
2135b780-5345-406d-ae31-fd3cd1c49650,37.4,Medium,0.68,,
b0d336ac-179e-4a18-b540-685c52821a1f,37.2,Medium,0.676,,
dd6bc55f-e6a1-41d7-bce7-68bd0d6c57a1,37.0,Medium,0.672,,
b9a701c4-e0fd-49c9-aa3a-14ff9e9e30be,36.7,Medium,0.668,,
9de4f299-90f7-4a53-a8c5-8000e64f1b8c,36.5,Medium,0.664,,
cb1b3f5f-347b-4a3b-adee-1924192848d1,36.3,Medium,0.66,,
30d9dbfc-a9d3-49fb-bc99-c78196773658,36.1,Medium,0.656,,
258d48fb-9fcd-4500-8724-3d5f900e042a,35.8,Medium,0.652,,
1d23efda-47c5-4f25-a9a9-fb25f27f1555,35.6,Medium,0.648,,
06fd6cbb-8d35-400c-8659-aaa0eea17971,35.4,Medium,0.643,,
a53f936a-4736-41c6-9315-d946a3c071d0,35.2,Medium,0.639,,
35ec240d-87ee-4bcc-b912-3116c4209142,34.9,Low,0.635,,
b9946d2d-f501-45d7-a5ac-b01a089c7f80,34.7,Low,0.631,,
6cb27459-de3c-427e-911e-71b60fc9a10c,34.5,Low,0.627,,
797e7972-72a1-4785-895a-38ea0e45a330,34.3,Low,0.623,,
e023aafd-324b-46e0-9d1c-4185c31eab44,34.0,Low,0.619,,
45cf3ce8-48d0-4b37-b975-1b26af059c69,33.8,Low,0.615,,
00b7fd23-69e7-46fd-82ef-ca35a3f56394,33.6,Low,0.611,,
ef9a41c0-4e35-474e-ab7b-3ca0833228c2,33.4,Low,0.607,,
2cbc8c56-879e-418c-84f7-cc6c53598d18,33.1,Low,0.602,,
9ed56090-544a-4a8e-942c-109b962ba12b,32.9,Low,0.598,,
999d799d-ddf8-4e3e-9913-bf8a20411d21,32.7,Low,0.594,,
c7d66935-49df-474a-af4e-5db892413e2e,32.5,Low,0.59,,
69cb270b-e8f3-410e-9142-2752016b44f9,32.2,Low,0.586,,
4d04ac5b-ace9-424c-b2cf-97c3843d8d10,32.0,Low,0.582,,
b07c2e02-3a06-41d1-a98e-33d3bd2c2fb7,31.8,Low,0.578,,
abdc9198-3b1f-4afa-a372-6366b8627999,30.7,Low,0.557,,
23613fa4-ac57-4a26-9de3-658c3f2c4b4d,30.7,Low,0.557,,
c9db82aa-39ec-404f-b045-4c140ea217e5,30.7,Low,0.557,,
625b07e7-083b-4c9d-b00b-203844544ea3,30.7,Low,0.557,,
19232b9f-c4c0-41b7-a655-830705dd9c3b,30.7,Low,0.557,,
78771496-d60c-4fe0-b6bd-cd95b52e12dd,30.7,Low,0.557,,
