asset_id,asset_type,purchase_date,asset_age_days,total_tickets,distinct_issue_types,repeat_issue_count,max_same_issue_repeats,avg_resolution_hours,median_resolution_hours,costed_ticket_count,total_cost,avg_cost,expected_cost_gap,last_ticket_date,tickets_per_month,mapping_confidence_summary
763d357a-c096-4573-bc9f-22c615990521,Cupboard,,,1,1,0,1,26.89,26.89,0,0.0,,,2026-06-12 04:03:25.003711,1.0,Verified:1
75d01f7c-1d6c-4526-89a9-cd60de1a0a72,Fan,,,1,1,0,1,15.29,15.29,0,0.0,,,2026-05-18 17:00:29.645296,1.0,Verified:1
749517a3-bc94-4092-94b6-48c55df52b27,Washing Machine,,,1,1,0,1,19.03,19.03,0,0.0,,,2026-06-29 13:36:34.121105,1.0,Verified:1
6eb2d076-e348-4bfc-856d-86723e94ab90,Fan,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
6e9f681a-1292-4cec-95d5-80c22a076e15,Fan,,,1,1,0,1,,,0,0.0,,,2026-07-30 17:01:08.357616,1.0,Verified:1
6d6df3d5-fc6b-417d-bdba-9b0ef9c1425c,RO Water Purifier,,,1,1,0,1,13.45,13.45,0,0.0,,,2026-06-11 16:35:50.190475,1.0,Verified:1
6d139e37-b2c9-41ce-ab61-761b58c50881,Fan,,,1,1,0,1,7.73,7.73,0,0.0,,,2026-06-30 00:46:26.535486,1.0,Verified:1
6964752d-3abb-4921-9c1b-d1b668a1ce85,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
6bb4484a-8055-40b3-8309-ba92c7a3fb62,Washing Machine,,,1,1,0,1,19.58,19.58,0,0.0,,,2026-04-27 09:03:26.184497,1.0,Verified:1
6b304c3f-616d-4dd8-ba7b-5c50efebba7d,Water Heater,,,1,1,0,1,24.02,24.02,0,0.0,,,2026-05-24 18:27:17.188630,1.0,Verified:1
5a8e3cf4-9abe-4240-8ecd-307405ee17c3,RO Water Purifier,2025-04-06,486.0,1,1,0,1,50.56,50.56,0,0.0,,,2026-07-14 05:34:28.311012,1.0,Verified:1
63583664-7699-4bd5-892d-2123c5cc534b,Washing Machine,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
64446452-f9e9-42d6-98d4-dc9aab5f2985,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
65682bd2-39f7-48df-9dcf-132d8853120d,Mattress,,,1,1,0,1,19.7,19.7,0,0.0,,,2026-06-21 15:00:02.370817,1.0,Verified:1
674fc797-2fa0-4292-9fcb-4205d7c5353b,RO Water Purifier,2024-03-30,858.0,1,1,0,1,64.0,64.0,0,0.0,,,2026-06-19 14:46:14.876949,1.0,Verified:1
563f1f66-9d2f-4054-b25b-775b06211ce1,Fan,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
5afb5cb0-85ac-4667-a503-73f76261a726,Fan,,,1,1,0,1,3.92,3.92,0,0.0,,,2026-06-09 06:42:31.229892,1.0,Verified:1
5da6f131-fa1e-4f4a-bd3e-736bee9f59d2,Air Conditioner,,,1,1,0,1,735.16,735.16,0,0.0,,,2026-05-13 13:35:48.105079,1.0,Verified:1
5f808eec-7ba7-4136-ba85-0e2aee0f52bd,Bedside Table,,,1,1,0,1,42.32,42.32,0,0.0,,,2026-06-30 14:20:30.864440,1.0,Verified:1
46ac4f2a-c5db-480e-a586-d69d14dcca89,Cupboard,,,1,1,0,1,,,0,0.0,,,2026-07-24 15:38:04.212382,1.0,Verified:1
482ebc6b-9875-4f32-b96c-ea193c4fe7ad,Cupboard,,,1,1,0,1,48.32,48.32,0,0.0,,,2026-07-22 11:35:56.139426,1.0,Verified:1
4a3f3e80-1c5b-469a-ae3c-e467b3f2bc85,Washing Machine,,,1,1,0,1,34.55,34.55,0,0.0,,,2026-05-18 01:50:28.437927,1.0,Verified:1
44ee6905-97d0-4e14-843d-55300d23be1d,Washing Machine,,,1,1,0,1,22.79,22.79,0,0.0,,,2026-06-01 05:31:54.959731,1.0,Verified:1
4d04ac5b-ace9-424c-b2cf-97c3843d8d10,Bedside Table,,,1,1,0,1,373.01,373.01,0,0.0,,,2026-06-25 18:47:00.854402,1.0,Verified:1
4e5f5e33-7af3-47f5-8e05-d3ea5795882e,Air Conditioner,,,1,1,0,1,20.17,20.17,0,0.0,,,2026-07-27 13:05:41.525673,1.0,Verified:1
4f48d094-6bbb-4944-a409-69e8d7e7fb23,Cupboard,,,1,1,0,1,18.94,18.94,0,0.0,,,2026-06-29 13:38:08.686724,1.0,Verified:1
50fccbdd-9c3e-407c-ace9-47dd457a3b4d,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
5255813b-afa8-4222-9151-d1b9ecbf3f06,Fan,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
544b7073-6afc-400a-bb6d-561234a7664d,Cot (Bed Frame),,,1,1,0,1,26.79,26.79,0,0.0,,,2026-06-01 03:08:50.657810,1.0,Verified:1
555e98eb-4fe6-4459-8cc7-46924f281dfb,Cot (Bed Frame),,,1,1,0,1,59.98,59.98,0,0.0,,,2026-04-07 00:18:50.384460,1.0,Verified:1
561ea125-de43-46ef-b0b5-c9748b1e06ad,Air Conditioner,,,1,1,0,1,12.62,12.62,0,0.0,,,2026-05-18 23:43:45.981343,1.0,Verified:1
3622b8e4-8e8f-4264-a33e-ea56373f527d,Refrigerator,,,1,1,0,1,3.67,3.67,0,0.0,,,2026-07-22 07:25:11.451425,1.0,Verified:1
37597e49-c4ae-4637-83cb-f43ea7ef8d35,Fan,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
3babeb92-9e7c-4877-8eea-8b0a471e1e37,Bedside Table,,,1,1,0,1,260.73,260.73,0,0.0,,,2026-05-23 07:48:00.540218,1.0,Verified:1
3cbd4e3f-c83a-4694-901c-adab177847a6,Fan,,,1,1,0,1,,,0,0.0,,,2026-07-25 18:14:45.506524,1.0,Verified:1
376d7336-cbff-4759-ac43-c1781e99e148,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
