entity_id,risk_score,risk_level,anomaly_score,flags,explanation
93e90f49-e5d8-4bd3-8cc8-eaf91c0ecf63,47.5,Medium,0.659,repeated_issue,Repeated issue at this location
0e095d80-8ab7-4313-9958-5f31427e3a26,47.5,Medium,0.66,repeated_issue,Repeated issue at this location
421bb1d1-5097-4c05-a533-97860e8a541c,47.3,Medium,0.86,,
4a230654-886f-4fc0-99ed-f669b07f509f,47.2,Medium,0.858,,
9d46f760-21e0-4282-b63b-f6dc832bec8d,47.2,Medium,0.814,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 2.8h vs 59.1h typical for Cleaning Issues
3714a311-a5b5-46ed-9868-1b383c55906d,47.1,Medium,0.856,,
83d03c23-f8b3-4f6c-8f52-e156f3fc8823,47.1,Medium,0.811,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 2.6h vs 48.4h typical for Other
9c3cf2fa-b5d4-46e0-b7a6-a3acfca2c674,47.1,Medium,0.857,,
ed0e68ba-fe8c-4d06-a47a-284d03626f7e,47.0,Medium,0.806,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 2.1h vs 51.8h typical for AC Issues
84f6d1b5-9225-49f1-bebb-82dd005821d9,47.0,Medium,0.801,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 2.4h vs 41.9h typical for Plumbing
c0ddb057-58a9-457b-af08-0bb6312b17ab,46.9,Medium,0.852,,
4505aa76-6647-4ef0-b86d-d332e066828a,46.8,Medium,0.851,,
5d9d7a1b-fb90-40b5-9623-002f5c788745,46.8,Medium,0.852,,
91c3df30-8736-4363-afda-343891a9380a,46.8,Medium,0.85,,
07125828-0af2-447b-88e1-cafa8a322705,46.7,Medium,0.85,,
61640151-5e67-4bdf-854e-05c78cf4a317,46.7,Medium,0.848,,
31b72d96-b600-47b9-864d-47d51f9766f0,46.6,Medium,0.846,,
fee940e2-83d1-4749-ab17-a7df7d3e1905,46.6,Medium,0.848,,
943908d6-ee9a-4bf4-aeab-eff7fb4ae697,46.4,Medium,0.639,repeated_issue,Repeated issue at this location
e0e94ac2-9af5-4194-ba97-3caff204496e,46.4,Medium,0.64,repeated_issue,Repeated issue at this location
5553e210-3933-4725-864c-1919c0e8afc0,46.4,Medium,0.638,repeated_issue,Repeated issue at this location
938c7806-1f83-4034-a447-087e1dd599b1,46.3,Medium,0.638,repeated_issue,Repeated issue at this location
768547d3-d472-4ce0-9930-cfe1ef655793,46.3,Medium,0.763,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 6.5h vs 48.4h typical for Other
96ac38f2-88f0-4bad-b91f-7e63474cbd8a,46.2,Medium,0.84,,
206f2473-1864-4ba9-ae6a-109ee0fa0150,46.1,Medium,0.634,repeated_issue,Repeated issue at this location
4dc1661f-4f6f-480f-914b-c4c531a02740,46.1,Medium,0.838,,
d24ca09b-494b-4bda-992a-aad57b478ff5,46.1,Medium,0.633,repeated_issue,Repeated issue at this location
230eeb01-de31-420e-bcc1-9eaee856ece8,45.8,Medium,0.833,,
715031c3-cc29-4ff1-ae30-4ac0fcb63e01,45.6,Medium,0.83,,
00442f6b-bad8-4efc-9138-a7fe5a491665,45.6,Medium,0.828,,
67874652-d7d1-5d89-1e13-b2b3aead6c9d,45.5,Medium,0.733,repeated_issue,Repeated issue at this location
44202a80-84f2-45c8-ad8e-b69c6599ba32,45.5,Medium,0.828,,
